id;name;level;image_url;thumbnail_url;np_level
1;enterprise Cambridgeshire;23945;next standardization;Ridge;9769
2;global Planner payment;59126;streamline;Future;50476
3;systemic Hat Berkshire;14867;Shoes Shores;Handmade bandwidth;99457
4;withdrawal Checking;79996;Auto SSL invoice;Gorgeous purple;39707
5;Steel static;89172;3rd;up;64040
6;real-time;85076;invoice connecting;Ridges;79618
7;SDD Implemented Sleek;2251;Cote Forward Polarised;revolutionize;33568
8;specifically;98998;Industrial turquoise Practical;state;96962
9;De-engineered;52692;SSL;bypassing calculate;18906
10;Engineer payment Chicken;46546;collaborative Brand Georgia;Savings Incredible Supervisor;77719
