id;name;level;image_url;seq
1;migration firmware HDD;51599;deposit Internal;39461
2;wireless Tasty;65120;auxiliary;16632
3;orchestrate programming Soft;15974;orange;8695
4;Granite calculate Indonesia;66769;implement;28023
5;Borders Iranian;53626;Sleek tertiary;33400
6;Account;29527;Frozen plug-and-play Bedfordshire;38907
7;Directives Mexico;75405;withdrawal alarm;73464
8;Metal;67653;Dynamic;95452
9;Netherlands;46542;secondary morph capability;69778
10;Cotton BEAC Account;3166;calculate withdrawal Berkshire;13517
